mir,disease,pmid
hsa-mir-15a,"Leukemia, Lymphocytic, Chronic, B-Cell",15737576
hsa-mir-16,"Leukemia, Lymphocytic, Chronic, B-Cell",15737576
hsa-mir-143,Colon Neoplasms,16195701
hsa-mir-145,Colon Neoplasms,16195701
hsa-mir-223,"Leukemia, Lymphocytic, Chronic, B-Cell",16251535
hsa-mir-29a,"Leukemia, Lymphocytic, Chronic, B-Cell",16251535
hsa-mir-29c,"Leukemia, Lymphocytic, Chronic, B-Cell",16251535
hsa-mir-10b,Breast Neoplasms,16466964
hsa-mir-125b-1,Breast Neoplasms,16466964
hsa-mir-125b-2,Breast Neoplasms,16466964
hsa-mir-145,Breast Neoplasms,16466964
hsa-mir-106,Leukemia,16549775
hsa-mir-10a,Leukemia,16549775
hsa-mir-10b,Leukemia,16549775
hsa-mir-126,Leukemia,16549775
hsa-mir-17,Leukemia,16549775
hsa-mir-20,Leukemia,16549775
hsa-let-7a-1,Lung Neoplasms,16712479
hsa-let-7a-2,Lung Neoplasms,16712479
hsa-let-7a-3,Lung Neoplasms,16712479
hsa-let-7b,Lung Neoplasms,16712479
hsa-let-7c,Lung Neoplasms,16712479
hsa-let-7d,Lung Neoplasms,16712479
hsa-let-7e,Lung Neoplasms,16712479
hsa-let-7f-1,Lung Neoplasms,16712479
hsa-let-7f-2,Lung Neoplasms,16712479
hsa-let-7g,Lung Neoplasms,16712479
hsa-let-7i,Lung Neoplasms,16712479
hsa-mir-143,Colorectal Carcinoma,16847880
hsa-mir-145,Colorectal Carcinoma,16847880
hsa-mir-181a-2,"Leukemia, Promyelocytic, Acute",16847880
hsa-mir-181b-1,"Leukemia, Promyelocytic, Acute",16847880
hsa-mir-181b-2,"Leukemia, Promyelocytic, Acute",16847880
hsa-mir-181d,"Leukemia, Promyelocytic, Acute",16847880
hsa-mir-155,Neoplasms [unspecific],16885332
hsa-mir-15a,Pituitary Neoplasms,16885332
hsa-mir-15b,Pituitary Neoplasms,16885332
hsa-mir-16-1,Pituitary Neoplasms,16940181
hsa-mir-16-2,Pituitary Neoplasms,16940181
hsa-let-7e,"Carcinoma, Hepatocellular",17028302
hsa-mir-125a,"Carcinoma, Hepatocellular",17028302
hsa-mir-99b,"Carcinoma, Hepatocellular",17028302
hsa-mir-1-1,"Cardiomyopathy, Hypertrophic",17028302
hsa-mir-1-2,"Cardiomyopathy, Hypertrophic",17096367
hsa-mir-127,Thyroid Neoplasms,17096367
hsa-mir-130a,Thyroid Neoplasms,17096367
hsa-mir-144,Thyroid Neoplasms,17096367
hsa-mir-17,Breast Neoplasms,17096367
hsa-mir-133a-1,"Cardiomyopathy, Hypertrophic",17096367
hsa-mir-133a-2,"Cardiomyopathy, Hypertrophic",17096367
hsa-mir-148a,Asthma,17096367
hsa-mir-148b,Asthma,17096367
hsa-mir-152,Asthma,17096367
hsa-mir-143,"Lymphoma, B-Cell",17096367
hsa-mir-143,Breast Neoplasms,17188425
hsa-let-7a-3,Ovarian Neoplasms,17188425
hsa-mir-150,Polycythemia Vera,17188425
hsa-mir-155,Polycythemia Vera,17234972
hsa-mir-221,Polycythemia Vera,17234972
hsa-let-7b,"Leukemia, Myeloid, Acute",17327404
hsa-mir-223,"Leukemia, Lymphoblastic",17327404
hsa-mir-128-1,"Lymphoma, Hodgkin",17355635
hsa-mir-128-2,"Lymphoma, Hodgkin",17355635
hsa-mir-96,"Lymphoma, Hodgkin",17355635
hsa-mir-16-1,"Leukemia, Lymphocytic, Chronic, B-Cell",17442096
hsa-mir-29c,Nasopharyngeal Neoplasms,17468766
hsa-mir-199a-1,Neoplasms [unspecific],17468766
hsa-let-7a,Polycythemia Vera,17468766
hsa-mir-30b,Polycythemia Vera,17468766
hsa-mir-30c,Polycythemia Vera,17479098
hsa-mir-222,Breast Neoplasms,17479098
hsa-let-7e,Ovarian Neoplasms,17479098
hsa-mir-182,Retinal Degeneration,17479098
hsa-mir-183,Retinal Degeneration,17847008
hsa-mir-96,Retinal Degeneration,17847008
hsa-mir-141,"Carcinoma, Renal Cell",17847008
hsa-mir-200c,"Carcinoma, Renal Cell",17892514
hsa-mir-125b-1,Myelodysplastic Syndromes,17940623
hsa-mir-17,"Lymphoma, B-Cell",17940623
hsa-mir-18a,"Lymphoma, B-Cell",17940623
hsa-mir-19a,"Lymphoma, B-Cell",17940623
hsa-mir-19b-1,"Lymphoma, B-Cell",17965831
hsa-mir-19b-2,"Lymphoma, B-Cell",17974952
hsa-mir-20a,"Lymphoma, B-Cell",17976518
hsa-mir-92a-1,"Lymphoma, B-Cell",17976518
hsa-mir-92a-2,"Lymphoma, B-Cell",17976518
hsa-mir-127,"Carcinoma, Hepatocellular",18056805
hsa-mir-200b,"Carcinoma, Hepatocellular",18056805
hsa-mir-34a,"Carcinoma, Hepatocellular",18089852
hsa-mir-337,Neurodegenerative Diseases [unspecific],18089852
hsa-mir-338,Neurodegenerative Diseases [unspecific],18089852
hsa-mir-150,Lupus Vulgaris,18362358
hsa-mir-210,Lupus Vulgaris,18362358
hsa-mir-223,Lupus Vulgaris,18390668
hsa-mir-296,Lupus Vulgaris,18430245
