bacterial infections and mycoses,['c01']
bacterial infections,['c01.252']
bacteremia,"['c01.252.100', 'c01.539.757.100', 'c23.550.470.790.500.100']"
hemorrhagic septicemia,"['c01.252.100.375', 'c01.252.400.700.662.297', 'c01.539.757.100.375', 'c23.550.470.790.500.100.375']"
central nervous system bacterial infections,"['c01.252.200', 'c01.395.500', 'c10.228.228.180']"
brain abscess,"['c01.252.200.100', 'c01.323', 'c01.539.830.025.160', 'c10.228.140.116', 'c10.228.228.090', 'c10.228.228.180.100']"
"empyema, subdural","['c01.252.200.200', 'c01.395.750', 'c01.539.830.305.330', 'c10.228.228.180.350', 'c10.228.228.227', 'c10.228.228.709.300']"
epidural abscess,"['c01.252.200.250', 'c01.539.830.025.325', 'c10.228.228.180.375', 'c10.228.228.300', 'c10.228.228.709.350', 'c10.228.854.303']"
lyme neuroborreliosis,"['c01.252.200.450', 'c01.252.400.155.569.600', 'c01.252.400.825.480.700', 'c01.252.847.193.569.600', 'c10.228.228.180.437']"
"meningitis, bacterial","['c01.252.200.500', 'c10.228.228.180.500', 'c10.228.228.507.280']"
"meningitis, escherichia coli","['c01.252.200.500.400', 'c01.252.400.310.330.500', 'c10.228.228.180.500.350', 'c10.228.228.507.280.350']"
"meningitis, haemophilus","['c01.252.200.500.450', 'c01.252.400.700.433.615', 'c10.228.228.180.500.425', 'c10.228.228.507.280.393']"
"meningitis, listeria","['c01.252.200.500.500', 'c01.252.410.514.533', 'c10.228.228.180.500.500', 'c10.228.228.507.280.449']"
"meningitis, meningococcal","['c01.252.200.500.550', 'c01.252.400.625.549.449', 'c10.228.228.180.500.750', 'c10.228.228.507.280.505']"
waterhouse-friderichsen syndrome,"['c01.252.200.500.550.800', 'c01.252.400.625.549.449.800', 'c10.228.228.180.500.750.500', 'c10.228.228.507.280.505.904', 'c15.378.100.802.843', 'c15.378.463.950', 'c19.053.500.740', 'c23.550.414.950.843', 'c23.888.885.687.843']"
"meningitis, pneumococcal","['c01.252.200.500.600', 'c01.252.410.890.670.595', 'c10.228.228.180.500.875', 'c10.228.228.507.280.560']"
"tuberculosis, meningeal","['c01.252.200.500.800', 'c01.252.410.040.552.846.570.600', 'c10.228.228.180.500.937', 'c10.228.228.180.850.800', 'c10.228.228.507.280.915']"
neurosyphilis,"['c01.252.200.750', 'c01.252.400.840.744.456', 'c01.252.847.840.744.456', 'c10.228.228.180.600']"
"endocarditis, bacterial","['c01.252.300', 'c01.539.190.249', 'c14.260.249', 'c14.280.282.407']"
"endocarditis, subacute bacterial","['c01.252.300.407', 'c01.252.410.890.240', 'c01.539.190.249.407', 'c14.260.249.407', 'c14.280.282.407.407']"
"eye infections, bacterial","['c01.252.354', 'c01.539.375.354', 'c11.294.354']"
"conjunctivitis, bacterial","['c01.252.354.225', 'c01.539.375.354.220', 'c11.187.183.220', 'c11.294.354.220']"
"conjunctivitis, inclusion","['c01.252.354.225.250', 'c01.252.400.210.210.250', 'c01.539.375.354.220.250', 'c11.187.183.220.250', 'c11.294.354.220.250']"
ophthalmia neonatorum,"['c01.252.354.225.625', 'c01.252.400.625.391.658', 'c01.539.375.354.220.625', 'c11.187.183.220.538', 'c11.294.354.220.625', 'c16.614.677']"
trachoma,"['c01.252.354.225.800', 'c01.252.400.210.210.800', 'c01.539.375.354.220.800', 'c11.187.183.220.889', 'c11.204.813', 'c11.294.354.220.800']"
hordeolum,"['c01.252.354.400', 'c01.539.375.354.400', 'c11.294.354.400', 'c11.338.648']"
"keratoconjunctivitis, infectious","['c01.252.354.450', 'c01.539.375.354.450', 'c11.187.183.394.520', 'c11.204.564.585.500', 'c11.294.354.450', 'c22.500']"
"tuberculosis, ocular","['c01.252.354.800', 'c01.252.410.040.552.846.786', 'c01.539.375.354.800', 'c11.294.354.800']"
"uveitis, suppurative","['c01.252.354.900', 'c01.539.375.265.500', 'c01.539.375.354.900', 'c01.539.375.450.900', 'c01.539.830.900', 'c01.703.343.900', 'c11.294.265.500', 'c11.294.354.900', 'c11.294.450.900', 'c11.941.879.960']"
panophthalmitis,"['c01.252.354.900.675', 'c01.539.375.354.900.675', 'c01.539.375.450.900.675', 'c01.703.343.900.675', 'c11.294.354.900.675', 'c11.294.450.900.675', 'c11.941.879.960.580']"
fournier gangrene,"['c01.252.377', 'c12.294.229']"
gram-negative bacterial infections,['c01.252.400']
aliivibrio infections,['c01.252.400.050']
anaplasmataceae infections,['c01.252.400.054']
anaplasmosis,"['c01.252.400.054.050', 'c01.252.400.825.050', 'c22.085']"
ehrlichiosis,"['c01.252.400.054.160', 'c01.252.400.825.200']"
heartwater disease,"['c01.252.400.054.160.400', 'c01.252.400.825.300', 'c22.434']"
bacteroidaceae infections,['c01.252.400.110']
bacteroides infections,['c01.252.400.110.109']
bartonellaceae infections,['c01.252.400.126']
bartonella infections,['c01.252.400.126.100']
"angiomatosis, bacillary","['c01.252.400.126.100.050', 'c01.252.825.150', 'c01.539.800.720.150', 'c14.907.077.060', 'c17.800.838.765.150', 'c17.800.862.060']"
cat-scratch disease,"['c01.252.400.126.100.150', 'c01.252.400.200', 'c15.604.315.249']"
trench fever,['c01.252.400.126.100.800']
bordetella infections,['c01.252.400.143']
whooping cough,"['c01.252.400.143.740', 'c01.539.739.969', 'c08.730.969']"
borrelia infections,"['c01.252.400.155', 'c01.252.847.193']"
lyme disease,"['c01.252.400.155.569', 'c01.252.400.825.480', 'c01.252.847.193.569']"
erythema chronicum migrans,"['c01.252.400.155.569.200', 'c01.252.400.825.480.400', 'c01.252.825.310', 'c01.252.847.193.569.200', 'c01.539.800.720.310', 'c17.800.229.200', 'c17.800.838.765.310']"
relapsing fever,"['c01.252.400.155.644', 'c01.252.400.825.750', 'c01.252.847.193.644']"
brucellosis,['c01.252.400.167']
"brucellosis, bovine","['c01.252.400.167.322', 'c22.021.322', 'c22.196.148']"
burkholderia infections,['c01.252.400.170']
glanders,"['c01.252.400.170.400', 'c22.488.409']"
melioidosis,['c01.252.400.170.531']
campylobacter infections,['c01.252.400.177']
chlamydiaceae infections,['c01.252.400.210']
chlamydia infections,"['c01.252.400.210.210', 'c01.252.810.301', 'c01.539.778.281.301', 'c12.294.668.281.301', 'c13.351.500.711.281.301']"
chlamydial pneumonia,"['c01.252.400.210.210.124', 'c01.252.400.210.250.299', 'c01.252.620.249', 'c08.381.677.540.249', 'c08.730.610.540.249']"
lymphogranuloma venereum,"['c01.252.400.210.210.490', 'c01.252.810.301.490', 'c01.539.778.281.301.490', 'c12.294.668.281.301.490', 'c13.351.500.711.281.301.490']"
chlamydophila infections,['c01.252.400.210.250']
psittacosis,['c01.252.400.210.250.600']
cytophagaceae infections,['c01.252.400.245']
desulfovibrionaceae infections,['c01.252.400.260']
enterobacteriaceae infections,['c01.252.400.310']
"dysentery, bacillary","['c01.252.400.310.229', 'c06.405.205.331.479', 'c06.405.469.300.479']"
escherichia coli infections,['c01.252.400.310.330']
granuloma inguinale,"['c01.252.400.310.416', 'c01.252.810.451', 'c01.252.825.360', 'c01.539.778.281.451', 'c01.539.800.720.360', 'c12.294.668.281.451', 'c13.351.500.711.281.451', 'c17.800.838.765.360']"
klebsiella infections,['c01.252.400.310.503']
rhinoscleroma,"['c01.252.400.310.503.650', 'c01.252.825.705', 'c01.539.800.720.705', 'c08.460.850', 'c08.730.702', 'c09.603.850', 'c17.800.838.765.705']"
proteus infections,['c01.252.400.310.708']
salmonella infections,['c01.252.400.310.821']
paratyphoid fever,['c01.252.400.310.821.438']
salmonella food poisoning,"['c01.252.400.310.821.606', 'c25.723.415.738']"
"salmonella infections, animal","['c01.252.400.310.821.706', 'c22.812']"
typhoid fever,['c01.252.400.310.821.873']
serratia infections,['c01.252.400.310.850']
yersinia infections,['c01.252.400.310.980']
plague,['c01.252.400.310.980.745']
yersinia pseudotuberculosis infections,['c01.252.400.310.980.780']
flavobacteriaceae infections,['c01.252.400.349']
fusobacteriaceae infections,['c01.252.400.388']
fusobacterium infections,['c01.252.400.388.350']
"gingivitis, necrotizing ulcerative","['c01.252.400.388.350.400', 'c01.539.424', 'c07.465.714.258.480.446']"
lemierre syndrome,"['c01.252.400.388.350.700', 'c07.550.174', 'c09.775.262', 'c14.907.355.830.925.770.500', 'c14.907.617.718.788.500', 'c14.907.940.740.910.500']"
rat-bite fever,"['c01.252.400.388.750', 'c01.252.400.771']"
helicobacter infections,['c01.252.400.466']
legionellosis,"['c01.252.400.500', 'c08.730.382']"
legionnaires' disease,"['c01.252.400.500.501', 'c08.730.382.380']"
leptospirosis,"['c01.252.400.511', 'c01.252.847.511']"
weil disease,"['c01.252.400.511.739', 'c01.252.847.511.739']"
moraxellaceae infections,['c01.252.400.560']
acinetobacter infections,['c01.252.400.560.022']
mycoplasmatales infections,['c01.252.400.610']
mycoplasma infections,['c01.252.400.610.610']
"pleuropneumonia, contagious","['c01.252.400.610.610.717', 'c22.717']"
"pneumonia, mycoplasma","['c01.252.400.610.610.760', 'c01.252.620.500', 'c08.381.677.540.500', 'c08.730.610.540.500']"
ureaplasma infections,['c01.252.400.610.850']
neisseriaceae infections,['c01.252.400.625']
gonorrhea,"['c01.252.400.625.391', 'c01.252.810.401', 'c01.539.778.281.401', 'c12.294.668.281.401', 'c13.351.500.711.281.401']"
meningococcal infections,['c01.252.400.625.549']
pasteurellaceae infections,['c01.252.400.700']
actinobacillus infections,['c01.252.400.700.030']
actinobacillosis,"['c01.252.400.700.030.178', 'c22.039']"
haemophilus infections,['c01.252.400.700.433']
chancroid,"['c01.252.400.700.433.257', 'c01.252.810.201', 'c01.539.778.281.201', 'c12.294.668.281.201', 'c13.351.500.711.281.201']"
pasteurella infections,['c01.252.400.700.662']
"pasteurellosis, pneumonic","['c01.252.400.700.675', 'c02.782.580.600.600.648', 'c08.730.085.600', 'c22.196.090.600']"
piscirickettsiaceae infections,['c01.252.400.719']
pseudomonas infections,['c01.252.400.739']
q fever,['c01.252.400.755']
rickettsiaceae infections,['c01.252.400.780']
"pneumonia, rickettsial","['c01.252.400.780.600', 'c01.252.620.600', 'c08.381.677.540.600', 'c08.730.610.540.600']"
rickettsia infections,['c01.252.400.780.790']
boutonneuse fever,"['c01.252.400.780.790.125', 'c01.252.400.825.125']"
rocky mountain spotted fever,"['c01.252.400.780.790.700', 'c01.252.400.825.775']"
"typhus, endemic flea-borne",['c01.252.400.780.790.800']
"typhus, epidemic louse-borne",['c01.252.400.780.790.805']
scrub typhus,['c01.252.400.780.850']
tick-borne diseases,"['c01.252.400.825', 'c02.081.885', 'c03.752.875']"
tularemia,"['c01.252.400.825.900', 'c01.252.400.939']"
treponemal infections,"['c01.252.400.840', 'c01.252.847.840']"
pinta,"['c01.252.400.840.558', 'c01.252.825.630', 'c01.252.847.840.558', 'c01.539.800.720.630', 'c17.800.838.765.630']"
syphilis,"['c01.252.400.840.744', 'c01.252.810.859', 'c01.252.847.840.744', 'c01.539.778.281.859', 'c12.294.668.281.859', 'c13.351.500.711.281.859']"
chancre,"['c01.252.400.840.744.161', 'c01.252.847.840.744.161']"
tabes dorsalis,"['c01.252.400.840.744.456.778', 'c01.252.847.840.744.456.778', 'c10.228.228.180.600.800', 'c10.228.854.889']"
"syphilis, cardiovascular","['c01.252.400.840.744.657', 'c01.252.847.840.744.657', 'c01.539.190.500', 'c14.260.500']"
"syphilis, congenital","['c01.252.400.840.744.725', 'c01.252.847.840.744.725', 'c16.614.868']"
